sample_id,source_file,label,element_html,parent_html,sr_transcript,sr_status_announcement,sr_role_state_value,sr_label_instruction,sr_focus_order,sr_link_purpose,sr_headings_labels,sr_reading_order,sr_keyboard_trap,sr_focus_context,sr_input_context,sr_sensory_reference,Prediction,Reason,Confidence,EvidenceCitation,AppliedSkills
headings-headings-not-structured-in-a-hierarchical-manner::sample-0,headings-headings-not-structured-in-a-hierarchical-manner.html,inaccessible,"<main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main>","<body><h1>A couple of Headings</h1><main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main></body>","[""main"",""heading, Heading 3, level 3"",""paragraph"",""Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major section headings), down to 3rd degree headings (sub-sections of the h2), and so on."",""end of paragraph"",""heading, Heading 5, level 5"",""paragraph"",""Technically, lower degree headings should be contained within headings of the next highest degree (i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document)."",""end of paragraph"",""heading, Heading 4, level 4"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Heading levels are skipped and out of order. Parent context shows <h1> followed by <h3>, then <h5>, then <h4> without an intervening <h2>; screen reader announces level 3 → level 5 → level 4, confirming the non-linear hierarchy.'}",0.93,"parent_html: <body><h1>…</h1><main><h3>…</h3>…<h5>…</h5>…<h4>…</h4></main>…; sr_transcript: ""heading, Heading 3, level 3 … heading, Heading 5, level 5 … heading, Heading 4, level 4""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
headings-text-formatting-used-instead-of-an-actual-heading::sample-0,headings-text-formatting-used-instead-of-an-actual-heading.html,inaccessible,"<main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main>","<body><h1>A heading</h1><main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main></body>","[""main"",""This is a div contains some texts"",""paragraph"",""This paragraph is preceded by a div"",""end of paragraph"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'A visually styled heading is implemented as a plain <div> (class=""fake-heading"") instead of a semantic <h1>-<h6>, so no heading role is conveyed. The screen reader transcript does not announce it as a heading, confirming the missing semantics (SOURCE HTML + SCREEN READER).'}",0.88,"SOURCE HTML: <div class=""fake-heading"">This is a div contains some texts</div> ; SCREEN READER: ""This is a div contains some texts"" (no ""heading"" announced)","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc.::sample-0,html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc..html,inaccessible,"<ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul>","<nav aria-labelledby=""parent-other"" role=""navigation""><ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul></nav>","[""list"",""listitem, level 1, position 1, set size 2"",""link, Your rights as an agency worker"",""end of listitem, level 1, position 1, set size 2"",""listitem, level 1, position 2, set size 2"",""link, Advisory, Conciliation and Arbitration Service (Acas)"",""end of listitem, level 1, position 2, set size 2"",""end of list""]",,,,,,,,,,,,accessible,,0.93,"SCREEN READER: ""list | listitem, level 1, position 1, set size 2 … end of list""; SOURCE HTML: <ul><li>…</li><li>…</li></ul> inside <nav>","1.3.1/list-structure, 1.3.1/semantic-misuse, 4.1.2/name-role-value, 4.1.3/status-messages"
html-empty-paragraph::sample-0,html-empty-paragraph.html,inaccessible,<main><p></p></main>,<body><h1>A paragraph</h1><main><p></p></main></body>,"[""main"",""paragraph"",""end of main""]",,,,,,,,,,,,accessible,,0.73,"SOURCE HTML shows a semantic main with an empty paragraph: <main><p></p></main>; SCREEN READER announces the landmark: ""main | paragraph | end of main"". No misused roles, no heading skips within the element, and no hidden meaningful content.","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
html-invalid-aria-role-names::sample-0,html-invalid-aria-role-names.html,inaccessible,"<ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol>","<div class=""header-context"" id=""global-breadcrumb""><ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol></div>","[""list"",""link, Home"",""link, Housing and local services"",""strong"",""link, Local councils and services"",""end of strong"",""end of list""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'SOURCE HTML shows an invalid ARIA role on the list: role=""breadcrumbs"". This role name is not recognized, so the intended breadcrumb landmark is misrepresented (semantic misuse).'}",0.9,"element_html: <ol class=""group"" role=""breadcrumbs"">…","1.3.1/list-structure, 1.3.1/semantic-misuse, 4.1.2/name-role-value, 4.1.3/status-messages"
html-spacer-image-found::sample-0,html-spacer-image-found.html,inaccessible,"<img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100"">","<main>
We are here. <img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100""> And you are there.
</main>","[""""]",,,,,,,,,,,,accessible,,0.93,"SOURCE HTML: <img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100"">; SCREEN READER: (no announcement)",1.1.1/non-text-content
links-link-not-clearly-identifiable-and-distinguishable-from-surrounding-text::sample-0,links-link-not-clearly-identifiable-and-distinguishable-from-surrounding-text.html,inaccessible,"<main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main>","<body><h1>A Link</h1><main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main></body>","[""main"",""paragraph"",""Find out more about"",""link, Doctor Who"",""end of paragraph"",""end of main""]",,,,,,,,,,,,accessible,,0.93,"SCREEN READER: ""link, Doctor Who""; SOURCE HTML shows <main> with a paragraph and an <a> link, no hidden text or misused roles.","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element::sample-0,lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element.html,inaccessible,<dt>html</dt>,<main><dt>html</dt><dd>a markup language for describing web documents</dd></main>,"[""term"",""html"",""end of term""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Orphan definition-list items: the <dt> (and <dd>) are direct children of <main> with no enclosing <dl>, so term/definition relationships are not properly encoded.'}",0.91,PARENT CONTEXT HTML: <main><dt>html</dt><dd>a markup language for describing web documents</dd></main>,1.3.1/list-structure
lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element::sample-1,lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element.html,inaccessible,<dd>a markup language for describing web documents</dd>,<main><dt>html</dt><dd>a markup language for describing web documents</dd></main>,"[""definition"",""a markup language for describing web documents"",""end of definition""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Orphan <dd>: In the parent context, <dt> and <dd> are direct children of <main> without a wrapping <dl>, so the definition list structure is not encoded.'}",0.93,Parent HTML: <main><dt>html</dt><dd>a markup language for describing web documents</dd></main> (no <dl> ancestor),1.3.1/list-structure
lists-improperly-nested-lists::sample-0,lists-improperly-nested-lists.html,inaccessible,<ul><ul><li>I'm doing just okay</li></ul></ul>,<main><ul><ul><li>I'm doing just okay</li></ul></ul></main>,"[""list"",""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Improperly nested lists: the nested <ul> is a direct child of the parent <ul> instead of being inside an <li>, so list relationships are not correctly encoded. Proven by SOURCE HTML and PARENT CONTEXT HTML.'}",0.97,SOURCE HTML: <ul><ul><li>I'm doing just okay</li></ul></ul>,"1.3.1/list-structure, 1.3.1/semantic-misuse, 4.1.2/name-role-value, 4.1.3/status-messages"
lists-improperly-nested-lists::sample-1,lists-improperly-nested-lists.html,inaccessible,<ul><li>I'm doing just okay</li></ul>,<ul><ul><li>I'm doing just okay</li></ul></ul>,"[""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Improperly nested list: parent_html shows a <ul> placed directly inside another <ul> (<ul><ul>…</ul></ul>) instead of being nested within a <li>, breaking correct list structure.'}",0.92,PARENT CONTEXT HTML: <ul><ul><li>I'm doing just okay</li></ul></ul>,"1.3.1/list-structure, 1.3.1/semantic-misuse, 4.1.2/name-role-value, 4.1.3/status-messages"
lists-li-element-with-no-parent::sample-0,lists-li-element-with-no-parent.html,inaccessible,"<li>
no parent
</li>","<main><li>
no parent
</li></main>","[""no parent""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Orphan list item: Parent context HTML shows <li> directly under <main> with no enclosing <ul>/<ol>/<dl>, so list relationships are not encoded; SR transcript reads plain text with no list semantics.'}",0.93,"Parent HTML: <main><li> … </li></main> ; SR: ""no parent""","1.3.1/list-structure, 4.1.2/name-role-value"
lists-list-not-marked-up-as-a-list::sample-0,lists-list-not-marked-up-as-a-list.html,inaccessible,"<main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main>","<body><h1>A List</h1><main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main></body>","[""main"",""* apple"",""* orange"",""* banana"",""* pear"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'List-looking content is built from plain text and <br> inside <main> with no <ul>/<ol>/<li>, so list relationships are not encoded; the screen reader transcript shows no list/listitem semantics.'}",0.95,"element_html shows ""* apple <br>""; sr_transcript reads ""main | * apple | * orange | * banana | * pear"" (no 'list'/'listitem' announced).","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
missing::sample-0,missing.html,inaccessible,"<body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body>","<html><head></head><body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body></html>","[""document"",""Accessibility Website"",""heading, Language of content, level 2"",""heading, html element, level 3"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Page Title, level 2"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Heading, level 2"",""heading, Another heading, level 3"",""paragraph"",""Okay, sounds fun, I'm in!"",""end of paragraph"",""end of document""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Text formatting used as a heading instead of semantic <h1>: the top title is a <div class=""h1"" style=""font-size: 2em; font-weight: bold;"">Accessibility Website</div> rather than an actual heading element, and the screen reader transcript does not announce it as a heading (it reads ""Accessibility Website"" without a heading level).'}",0.88,"SOURCE/PARENT HTML: <div class=""h1"" style=""font-size: 2em; ..."">Accessibility Website</div>; SCREEN READER: ""document | Accessibility Website | heading, Language of content, level 2"" (no heading announced for ""Accessibility Website"").","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
tables-table-has-an-empty-table-header::sample-0,tables-table-has-an-empty-table-header.html,inaccessible,"<table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table>","<main><table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table></main>","[""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Age Birthday"",""columnheader"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters""]",,,,,,,,,,,,inaccessible,"{'1.3.1': ""Empty table header cell leaves a column unlabeled. SOURCE HTML shows <th></th> in the header row; SCREEN READER transcript does not announce any header for the first column (only 'Age' and 'Birthday'), confirming the empty <th> provides no header association.""}",0.93,"SOURCE HTML: <th></th> (empty header cell in <thead>); SR: 'row, Age Birthday | columnheader, Age | columnheader, Birthday' (no header for first column).",1.3.1/table-relationships
tables-table-has-no-scope-attributes::sample-0,tables-table-has-no-scope-attributes.html,inaccessible,"<table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table>","<main><table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table></main>","[""table, Opening\ntimes"",""caption, Opening\ntimes"",""rowgroup"",""row, Monday-Friday Saturday Sunday"",""cell"",""rowheader, Monday-Friday"",""rowheader, Saturday"",""rowheader, Sunday"",""end of row, Monday-Friday Saturday Sunday"",""row, 08:00\n-\n12:00 open open closed"",""rowheader, 08:00\n-\n12:00"",""cell, open"",""cell, open"",""cell, closed"",""end of row, 08:00\n-\n12:00 open open closed"",""row, 12:00\n-\n16:00 open closed closed"",""rowheader, 12:00\n-\n16:00"",""cell, open"",""cell, closed"",""cell, closed"",""end of row, 12:00\n-\n16:00 open closed closed"",""end of rowgroup"",""end of table, Opening\ntimes""]",,,,,,,,,,,,inaccessible,"{'1.3.1': ""Column headers are not programmatically associated. In SOURCE HTML, <th> cells have no scope/headers/id, and the first row even starts with an empty <td>. In the SCREEN READER transcript, the supposed column headers are announced as 'rowheader' (e.g., 'rowheader, Monday-Friday'), and when reading data rows, column headers are not re-announced (cells read only as 'cell, open/closed'). This shows missing header relationships.""}",0.91,"sr_transcript: 'rowheader, Monday-Friday | rowheader, Saturday | rowheader, Sunday' and later 'rowheader, 08:00 - 12:00 | cell, open | cell, open | cell, closed' (no column headers re-announced). element_html: '<th>Monday-Friday</th><th>Saturday</th><th>Sunday</th>' (no scope).",1.3.1/table-relationships
